CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2014 Setembro,1.0,2014.0,Setembro,2297094.0,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,2650.0,2686.0,36.0,36.0,,,251.5,,-23.77,,,227.73,227.73,0.0
H002 2014 Setembro,2.0,2014.0,Setembro,2297116.0,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,2833.0,2855.0,22.0,22.0,,,110.35,,-10.43,,,99.92,99.92,0.0
H003 2014 Setembro,3.0,2014.0,Setembro,2297124.0,,,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,4441.0,4810.0,369.0,369.0,,,2866.51,,-270.89,,,2595.62,2595.62,0.0
H004 2014 Setembro,4.0,2014.0,Setembro,2297086.0,2014-09-18,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,962.0,1061.0,99.0,99.0,Lido,,746.23,,-70.52,,,675.71,675.71,0.0
H005 2014 Setembro,5.0,2014.0,Setembro,2297078.0,,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,2397.0,2584.0,187.0,187.0,,,1437.28,,-135.82,,,1301.46,1301.46,0.0
H006 2014 Setembro,6.0,2014.0,Setembro,9185569.0,,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,1583.0,1666.0,83.0,83.0,,,620.58,,-58.65,,,561.93,561.93,0.0
H007 2014 Setembro,7.0,2014.0,Setembro,9185550.0,,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,1644.0,1716.0,72.0,72.0,,,534.2,,-50.48,,,483.72,483.72,0.0
H008 2014 Setembro,8.0,2014.0,Setembro,2297159.0,,B10C010670,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,5213.0,5748.0,535.0,535.0,,,4170.09,,-394.07,,,3776.02,3776.02,0.0
H009 2014 Setembro,9.0,2014.0,Setembro,2297140.0,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,952.0,993.0,41.0,41.0,,,290.76,,-27.48,,,263.28,263.28,0.0
H010 2014 Setembro,10.0,2014.0,Setembro,2297132.0,,,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,1571.0,1580.0,9.0,10.0,,,47.32,,-4.47,,,42.85,42.85,0.0
H011 2014 Setembro,11.0,2014.0,Setembro,8149615.0,2014-09-18,B10C010661,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,5949.0,7055.0,1106.0,1106.0,Lido,,8654.1,,-817.81,,,7836.29,7836.29,0.0
H014 2014 Setembro,12.0,2014.0,Setembro,2296969.0,,,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,57068.0,69493.0,12425.0,12425.0,,,97757.98,97757.98,-18476.26,,,177039.7,177039.7,0.0
H015 2014 Setembro,13.0,2014.0,Setembro,2296918.0,2014-09-18,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,,1.0,,,1,2998.0,3227.0,229.0,229.0,Médio,,2094.52,2094.52,-395.86,,,3793.18,3793.18,0.0
H017 2014 Setembro,14.0,2014.0,Setembro,2296950.0,2014-09-18,C11C000344,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,,,1,7308.0,8553.0,1245.0,1245.0,Lido,,9745.65,9745.65,-1841.92,,,17649.38,17649.38,0.0
H018 2014 Setembro,15.0,2014.0,Setembro,2296640.0,2014-09-17,A10C017754,H018,CASAN,Florianópolis,DAE,1.0,,,,1,851.0,870.0,19.0,19.0,Lido,,118.0,118.0,-22.3,,,213.7,213.7,0.0
H019 2014 Setembro,16.0,2014.0,Setembro,9097821.0,2014-09-17,B10C012857,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2,1659.0,2356.0,697.0,697.0,Lido,,6015.67,6015.67,-1136.95,,,10894.39,10894.39,0.0
H020 2014 Setembro,17.0,2014.0,Setembro,2296829.0,2014-09-17,C11C004462,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,,,,1,8951.0,9588.0,637.0,637.0,Lido,,4971.09,4971.09,-939.53,,,9002.65,9002.65,0.0
H021 2014 Setembro,18.0,2014.0,Setembro,2296632.0,2014-09-17,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,,,,2,886.0,898.0,12.0,20.0,Mínimo,,94.64,94.64,-17.89,,,171.39,171.39,0.0
H023 2014 Setembro,19.0,2014.0,Setembro,2296934.0,2014-09-17,B10C013880,H023,CASAN,Florianópolis,Associação Volantes 1,2.0,,1.0,,3,4007.0,4309.0,302.0,302.0,Lido,,2380.57,2380.57,-449.92,,,4311.22,4311.22,0.0
H024 2014 Setembro,20.0,2014.0,Setembro,2296926.0,2014-09-17,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,1.0,,1.0,,2,166.0,167.0,1.0,20.0,Mínimo,,94.64,94.64,-17.89,,,171.39,171.39,0.0
H025 2014 Setembro,21.0,2014.0,Setembro,2296900.0,2014-09-17,C11C002633,H025,CASAN,Florianópolis,CFM Bloco A,1.0,,,,1,6984.0,7608.0,624.0,624.0,Lido,,4869.0,4869.0,-920.24,,,8817.76,8817.76,0.0
H026 2014 Setembro,22.0,2014.0,Setembro,9912770.0,2014-09-17,A10C023447,H026,CASAN,Florianópolis,CFM Bloco B,1.0,,,,1,466.0,528.0,62.0,62.0,Lido,,455.67,455.67,-86.11,,,825.23,825.23,0.0
H027 2014 Setembro,23.0,2014.0,Setembro,2296888.0,2014-09-17,C11C000341,H027,CASAN,Florianópolis,Colégio Aplicação,1.0,,,,1,3991.0,5072.0,1081.0,1081.0,Lido,,8457.78,8457.78,-1598.53,,,15317.03,15317.03,0.0
H028 2014 Setembro,24.0,2014.0,Setembro,6205615.0,2014-09-17,A05S578084,H028,CASAN,Florianópolis,Nativas do Horto Botânico,1.0,,,,1,7408.0,7408.0,0.0,10.0,Mínimo,,47.32,47.32,-8.95,,,85.69,85.69,0.0
H029 2014 Setembro,25.0,2014.0,Setembro,7297220.0,,,H029,CASAN,Florianópolis,Moradia Estudantil - Portaria,1.0,,,,1,1895.0,1897.0,2.0,10.0,,,47.32,47.32,-8.95,,,85.69,85.69,0.0
H030 2014 Setembro,26.0,2014.0,Setembro,2296276.0,,,H030,CASAN,Florianópolis,Moradia Estudantil,,,,,0,14501.0,15651.0,1150.0,1150.0,,,6903.26,6903.26,-1304.72,,,12501.8,12501.8,0.0
H032 2014 Setembro,27.0,2014.0,Setembro,2296659.0,2014-09-17,C11C001977,H032,CASAN,Florianópolis,Biblioteca Central,1.0,,,,1,13835.0,14280.0,445.0,445.0,Lido,,3463.33,3463.33,-654.57,,,6272.09,6272.09,0.0
H033 2014 Setembro,28.0,2014.0,Setembro,2296667.0,2014-09-17,C11C002632,H033,CASAN,Florianópolis,CTC 1 - R. Delfino Conti,1.0,,1.0,,2,2327.0,2615.0,288.0,288.0,Lido,,2389.62,2389.62,-451.64,,,4327.6,4327.6,0.0
H034 2014 Setembro,29.0,2014.0,Setembro,8416621.0,2014-09-17,C10C005432,H034,CASAN,Florianópolis,CTC Bloco L - R. Delfino Conti,1.0,,,,1,6546.0,6702.0,156.0,156.0,Lido,,1193.84,1193.84,-225.64,,,2162.04,2162.04,0.0
H035 2014 Setembro,30.0,2014.0,Setembro,2296845.0,2014-09-17,A91T139268,H035,CASAN,Florianópolis,CTC 2 - INEP,1.0,,,,1,2519.0,2525.0,6.0,10.0,Mínimo,,47.32,47.32,-8.95,,,85.69,85.69,0.0
H037 2014 Setembro,31.0,2014.0,Setembro,6435548.0,2014-09-17,Y13F347112,H037,CASAN,Florianópolis,CTC Bloco A - POLO,1.0,,,1.0,2,587.0,739.0,152.0,152.0,Lido,,1131.22,1131.22,-213.8,,,2048.64,2048.64,0.0
H038 2014 Setembro,32.0,2014.0,Setembro,2296683.0,2014-09-17,C11C005093,H038,CASAN,Florianópolis,Pavilhão Eng. Mecânica,1.0,,,,1,2289.0,2505.0,216.0,216.0,Lido,,1665.02,1665.02,-314.69,,,3015.35,3015.35,0.0
H040 2014 Setembro,33.0,2014.0,Setembro,2296691.0,2014-09-17,C11C000642,H040,CASAN,Florianópolis,Reitoria I,1.0,,,,1,3858.0,4384.0,526.0,526.0,Lido,,4099.42,4099.42,-774.79,,,7424.05,7424.05,0.0
H041 2014 Setembro,34.0,2014.0,Setembro,2296810.0,2014-09-17,C11C010608,H041,CASAN,Florianópolis,CCE 1 - Básico,1.0,,1.0,,2,645.0,982.0,337.0,337.0,Lido,,2824.03,2824.03,-533.74,,,5114.32,5114.32,0.0
H042 2014 Setembro,35.0,2014.0,Setembro,2296802.0,2014-09-17,C11C007092,H042,CASAN,Florianópolis,CCE 2 - R. Eng. Andrey C. Ferreira,1.0,,,,1,9760.0,10248.0,488.0,488.0,Lido,,3801.01,3801.01,-718.39,,,6883.63,6883.63,0.0
H043 2014 Setembro,36.0,2014.0,Setembro,6816860.0,2014-09-17,A94S171408,H043,CASAN,Florianópolis,Casa de Veg. - Depto. Microbiologia,1.0,,,,1,594.0,601.0,7.0,10.0,Mínimo,,47.32,47.32,-8.95,,,85.69,85.69,0.0
H044 2014 Setembro,37.0,2014.0,Setembro,2296896.0,2014-09-17,C11C001100,H044,CASAN,Florianópolis,CCB Carvoeira 1 - Lab. de ensino e pesquisa,1.0,,,,1,7047.0,7469.0,422.0,422.0,Lido,,3282.71,3282.71,-620.43,,,5944.99,5944.99,0.0
H045 2014 Setembro,38.0,2014.0,Setembro,2296772.0,2014-09-17,B11C039161,H045,CASAN,Florianópolis,Museu de Antropologia,1.0,,,,1,375.0,397.0,22.0,22.0,Lido,,141.55,141.55,-26.75,,,256.35,256.35,0.0
H046 2014 Setembro,39.0,2014.0,Setembro,2296780.0,2014-09-17,B10C007949,H046,CASAN,Florianópolis,Horto Botânico,1.0,,,,1,2196.0,2429.0,233.0,233.0,Lido,,1798.52,1798.52,-339.92,,,3257.12,3257.12,0.0
H047 2014 Setembro,40.0,2014.0,Setembro,2296837.0,2014-09-17,B10C013876,H047,CASAN,Florianópolis,Creche UFSC,1.0,,,,1,7542.0,9236.0,1694.0,1694.0,Lido,,13271.6,13271.6,-2508.33,,,24034.87,24034.87,0.0
H048 2014 Setembro,41.0,2014.0,Setembro,2296764.0,2014-09-17,C11C004576,H048,CASAN,Florianópolis,Centro de Filosofia e Humanas 1,1.0,,,,1,9384.0,10053.0,669.0,669.0,Lido,,5222.38,5222.38,-987.03,,,9457.73,9457.73,0.0
H049 2014 Setembro,42.0,2014.0,Setembro,9197478.0,2014-09-17,B10C002846,H049,CASAN,Florianópolis,Centro de Educação 1,1.0,,,,1,4512.0,4972.0,460.0,460.0,Lido,,3581.13,3581.13,-676.83,,,6485.43,6485.43,0.0
H050 2014 Setembro,43.0,2014.0,Setembro,2296748.0,2014-09-17,C10C005435,H050,CASAN,Florianópolis,Centro de Educação 2,1.0,,,,1,3064.0,3066.0,2.0,10.0,Mínimo,,47.32,47.32,-8.95,,,85.69,85.69,0.0
