CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2015 Agosto,1,2015,Agosto,2297094,2015-08-19,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,2978,3008,30,30,,,228.78,,-21.62,,,207.16,207.16,0
H002 2015 Agosto,2,2015,Agosto,2297116,2015-08-19,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,3043,3050,7,20,,,105.94,,-10.02,,,95.92,95.92,0
H003 2015 Agosto,3,2015,Agosto,2297124,2015-08-19,,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,21,424,403,403,,,3507.64,,-331.48,,,3176.16,3176.16,0
H004 2015 Agosto,4,2015,Agosto,2297086,2015-08-19,,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,1864,1864,0,10,,,52.97,,-5.0,,,47.97,47.97,0
H005 2015 Agosto,5,2015,Agosto,2297078,2015-08-19,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,4289,4509,220,220,,,1898.98,,-179.45,,,1719.53,1719.53,0
H006 2015 Agosto,6,2015,Agosto,9185569,2015-08-19,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,2211,2250,39,39,,,307.89,,-29.1,,,278.79,278.79,0
H007 2015 Agosto,7,2015,Agosto,9185550,2015-08-19,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,2090,2211,121,121,,,1028.72,,-97.22,,,931.5,931.5,0
H008 2015 Agosto,8,2015,Agosto,2297159,2015-08-19,B10C010670,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,11500,12031,531,531,,,4632.82,,-437.8,,,4195.02,4195.02,0
H009 2015 Agosto,9,2015,Agosto,2297140,2015-08-19,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,1356,1391,35,35,,,272.73,,-25.77,,,246.96,246.96,0
H010 2015 Agosto,10,2015,Agosto,2297132,2015-08-19,C11C010472,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,118,125,7,25,Informado,,184.83,,-17.46,,,167.37,167.37,0
H011 2015 Agosto,11,2015,Agosto,8149615,2015-08-19,B10C010661,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,19484,20715,1231,1231,Lido,,10786.17,,-1019.3,,,9766.87,9766.87,0
H014 2015 Agosto,12,2015,Agosto,2296969,2015-08-19,,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,5582,17626,12044,12044,,,105991.36,105991.36,-20032.37,,,191950.35,191950.35,0
H015 2015 Agosto,13,2015,Agosto,2296918,2015-08-20,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,1.0,,,,1,9446,10016,570,570,,,4975.65,4975.65,-940.39,,,9010.91,9010.91,0
H017 2015 Agosto,14,2015,Agosto,2296950,2015-08-19,,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,,,1,18877,19855,978,978,,,8562.17,8562.17,-1618.25,,,15506.09,15506.09,0
H018 2015 Agosto,15,2015,Agosto,2296640,2015-08-20,A13C043935,H018,CASAN,Florianópolis,DAE,1.0,,,,1,146,189,43,43,Lido,,343.06,343.06,-64.83,,,621.29,621.29,0
H019 2015 Agosto,16,2015,Agosto,9097821,2015-08-20,B10C012857,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2,6982,7168,186,186,Informado,,1662.66,1662.66,-314.24,,,3011.08,3011.08,0
H020 2015 Agosto,17,2015,Agosto,2296829,2015-08-20,C11C004462,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,,,,1,15505,16148,643,643,Lido,,5617.36,5617.36,-1061.69,,,10173.03,10173.03,0
H021 2015 Agosto,18,2015,Agosto,2296632,2015-08-20,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,,,,2,1002,1008,6,20,Mínimo,,105.94,105.94,-20.03,,,191.85,191.85,0
H023 2015 Agosto,19,2015,Agosto,2296934,2015-08-20,B10C013880,H023,CASAN,Florianópolis,Associação Volantes 1,1.0,,,,1,6772,7022,250,250,Lido,,2162.69,2162.69,-408.74,,,3916.64,3916.64,0
