CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2018 Março,Medidor faturado pela UFSC,2018,Março,2297094,2018-03-19,A16S366817,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,540,570,30,30,Lido,,268.93,,-25.67,,2.62,245.88,245.88,0
H002 2018 Março,Medidor faturado pela UFSC,2018,Março,2297116,2018-03-19,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,4544,4617,73,73,Lido,,672.19,,-63.88,,3.75,612.06,612.0600000000001,0
H003 2018 Março,Medidor faturado pela UFSC,2018,Março,2297124,2018-03-19,C11C010369,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,10863,11163,300,300,Lido,,3058.84,,-294.81,,60.82,2824.85,2824.8500000000004,0
H004 2018 Março,Medidor faturado pela UFSC,2018,Março,2297086,2018-03-19,B17C002619,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,2948,80,-2868,82,Lido,,806.25,,-77.09,,9.55,738.71,738.7099999999999,0
H005 2018 Março,Medidor faturado pela UFSC,2018,Março,2297078,2018-03-19,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,12897,13331,434,434,Lido,,4443.46,,-426.95,,74.48,4090.99,4090.9900000000002,0
H006 2018 Março,Medidor faturado pela UFSC,2018,Março,9185569,2018-03-19,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,2865,2865,0,10,Mínimo,,62.27,,-5.98,,1.13,57.42,57.42000000000001,0
H007 2018 Março,Medidor faturado pela UFSC,2018,Março,9185550,2018-03-19,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,4206,4209,3,10,Informado,,62.27,,-6.06,,1.88,58.09,58.09,0
H008 2018 Março,Medidor faturado pela UFSC,2018,Março,2297159,2018-03-19,C11C010187,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,12099,12885,786,786,Lido,,8080.68,,-767.72,,43.23,7356.19,7356.19,0
H009 2018 Março,Medidor faturado pela UFSC,2018,Março,2297140,2018-03-19,Y11C052787,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,2511,2515,4,10,Informado,,62.27,,-5.98,,1.13,57.42,57.42000000000001,0
H010 2018 Março,Medidor faturado pela UFSC,2018,Março,2297132,2018-03-19,C11C010472,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,603,662,59,59,Lido,,568.59,,-54.19,,4.87,519.27,519.2700000000001,0
H011 2018 Março,Medidor faturado pela UFSC,2018,Março,8149615,2018-03-19,C11C005249,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,19745,20616,871,871,Lido,,8958.98,,-862.95,,172.73,8268.76,8268.76,0
H014 2018 Março,Medidor faturado pela UFSC,2018,Março,2296969,2018-03-22,J15AA00002,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,380865,391392,10527,10527,Lido,,108496.85,108496.85,-20560.2,16843.82,,213277.32,213277.32,0
H015 2018 Março,Medidor faturado pela UFSC,2018,Março,2296918,2018-03-19,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,1.0,,,,1,1404,1445,41,41,Lido,,382.59,382.59,-74.15,,19.47,710.5,710.5,0
H017 2018 Março,Medidor faturado pela UFSC,2018,Março,2296950,2018-03-19,C11C001906,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,,,1,24013,25274,1261,1261,Lido,,12988.85,12988.85,-2465.12,,108.17,23620.75,23620.75,0
H018 2018 Março,Medidor faturado pela UFSC,2018,Março,2296640,2018-03-19,A13C043935,H018,CASAN,Florianópolis,DAE,1.0,,,,1,1610,1879,269,269,Informado,,2738.52,2738.52,-519.35,,18.72,4976.41,4976.41,0
H019 2018 Março,Medidor faturado pela UFSC,2018,Março,9097821,2018-03-19,C11C005250,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2,2732,2956,224,224,Lido,,2397.72,2397.72,-454.98,,19.11,4359.57,4359.569999999999,0
H020 2018 Março,Medidor faturado pela UFSC,2018,Março,2296829,2018-03-19,C11C009540,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,,,,1,21423,21950,527,527,Lido,,5404.43,5404.43,-1026.17,,50.16,9832.85,9832.85,0
H021 2018 Março,Medidor faturado pela UFSC,2018,Março,2296632,2018-03-19,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,,,,2,2865,2665,-200,20,Informado,,124.54,124.54,-25.3,,18.73,242.51,242.51,0
H023 2018 Março,Medidor faturado pela UFSC,2018,Março,2296934,2018-03-19,B10C010114,H023,CASAN,Florianópolis,Associação Volantes 1,1.0,,,,1,4574,4874,300,300,Lido,,3058.84,3058.84,-584.27,,65.13,5598.54,5598.54,0
H024 2018 Março,Medidor faturado pela UFSC,2018,Março,2296926,2018-03-19,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,1.0,,1.0,,2,264,270,6,20,Lido,,124.54,124.54,-23.97,,4.51,229.62,229.62,0
H025 2018 Março,Medidor faturado pela UFSC,2018,Março,2296900,2018-03-19,C11C001273,H025,CASAN,Florianópolis,CFM Bloco A,1.0,,,,1,11085,11967,882,882,Informado,,9072.65,9072.65,-1725.48,,113.79,16533.61,16533.61,0
H026 2018 Março,Medidor faturado pela UFSC,2018,Março,9912770,2018-03-19,A10C023447,H026,CASAN,Florianópolis,CFM Bloco B,1.0,,,,1,2358,2422,64,64,Lido,,620.25,620.25,-117.44,,2.26,1125.32,1125.32,0
