ID,Hidrometro,Matricula,Situacao,Categoria,Setor de Planejamento DPAE,Setor de Planejamento DPAE - Descrição,Setor de Abastecimento CGA,Setor de Abastecimento CGA_1,Cidade,Campus,Local,Observacao ,Num Hidrometro,Cobranca,Ligacao rede de esgoto,Identificacao,Concessionaria,Consumo médio dos últimos 6 meses (m3) - ref 9_2024,Atualizacao_Cadastro
1,H001,2297094.0,Ativo,Medidor faturado pela UFSC,Setor 01,Prefeitura,Setor 01,SubSetor 01.10,Florianópolis - Trindade,Trindade,Almoxarifado e Transportes (PU 11 e 06),Fatura centralizada,A16S366817,Água e Esgoto,Sim,83.899.526/0001-82,CASAN,28.17,2024-10-15
2,H002,2297116.0,Ativo,Medidor faturado pela UFSC,Setor 01,Prefeitura,Setor 01,SubSetor 01.12,Florianópolis - Trindade,Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",Fatura centralizada,A04S381708,Água e Esgoto,Sim,83.899.526/0001-82,CASAN,49.0,2024-10-15
3,H003,2297124.0,Ativo,Medidor faturado pela UFSC,Setor 01,Prefeitura,Setor 01,SubSetor 01.13,Florianópolis - Trindade,Trindade,Biotério Central (BIC 01 a 10),Fatura centralizada,C11C010369,Água e Esgoto,Sim,83.899.526/0001-82,CASAN,430.0,2024-10-15
4,H004,2297086.0,Ativo,Medidor faturado pela UFSC,Setor 01,Prefeitura,Setor 01,SubSetor 01.09,Florianópolis - Trindade,Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",Fatura centralizada,B17C002619,Água e Esgoto,Sim,83.899.526/0001-82,CASAN,149.67,2024-10-15
5,H005,2297078.0,Ativo,Medidor faturado pela UFSC,Setor 01,Prefeitura,Setor 01,SubSetor 01.08,Florianópolis - Trindade,Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",Fatura centralizada,B10C010667,Água e Esgoto,Sim,83.899.526/0001-82,CASAN,105.17,2024-10-15
6,H006,9185569.0,Ativo,Medidor faturado pela UFSC,Setor 01,Prefeitura,Setor 01,SubSetor 01.01,Florianópolis - Trindade,Trindade,Eng. Civil Bloco D,Fatura centralizada,A11C032611,Água e Esgoto,Sim,83.899.526/0001-82,CASAN,5.5,2024-10-15
7,H007,9185550.0,Ativo,Medidor faturado pela UFSC,Setor 01,Prefeitura,Setor 01,SubSetor 01.02,Florianópolis - Trindade,Trindade,"Eng. Civil Bloco A, B e C",Fatura centralizada,A11C047521,Água e Esgoto,Sim,83.899.526/0001-82,CASAN,90.17,2024-10-15
8,H008,2297159.0,Ativo,Medidor faturado pela UFSC,Setor 01,Prefeitura,Setor 01,SubSetor 01.05,Florianópolis - Trindade,Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",Fatura centralizada,C11C010187,Água e Esgoto,Sim,83.899.526/0001-82,CASAN,373.83,2024-10-15
9,H009,2297140.0,Ativo,Medidor faturado pela UFSC,Setor 01,Prefeitura,Setor 01,SubSetor 01.04,Florianópolis - Trindade,Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),Fatura centralizada,Y11C052787,Água e Esgoto,Sim,83.899.526/0001-82,CASAN,0.83,2024-10-15
10,H010,2297132.0,Ativo,Medidor faturado pela UFSC,Setor 01,Prefeitura,Setor 01,SubSetor 01.03,Florianópolis - Trindade,Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",Fatura centralizada,C11C010472,Água e Esgoto,Sim,83.899.526/0001-82,CASAN,26.17,2024-10-15
11,H011,8149615.0,Ativo,Medidor faturado pela UFSC,Setor 01,Prefeitura,Setor 01,SubSetor 01.06,Florianópolis - Trindade,Trindade,"CCB - Blocos A, B, C e D - 1 - Córrego Grande",Fatura centralizada,C11C005249,Água e Esgoto,Sim,83.899.526/0001-82,CASAN,294.83,2024-10-15
12,H012,6297854.0,Ativo,Medidor não faturado pela UFSC,Setor 01,Prefeitura,Setor 01,SubSetor 01.14,Florianópolis - Trindade,Trindade,SINTUFSC,Fatura Individual,,Água e Esgoto,Sim,Sem informação,CASAN,,2024-10-15
13,H014,2296969.0,Ativo,Medidor não faturado pela UFSC,Setor 02,Saúde,Setor 02,SubSetor 02.01,Florianópolis  HU,Trindade,Hospital Universitário - EBSERH,Fatura Individual,J15AA00002,Água e Esgoto,Sim,15.126.437/0034-01,CASAN,6096.0,2024-10-15
14,H015,2296918.0,Ativo,Medidor faturado pela UFSC,Setor 06,Econômico-Jurídico,Setor 06,SubSetor 06.01,Florianópolis - Trindade,Trindade,Moradia Estudantil - Casa,Fatura centralizada,B10C013878,Água e Esgoto,Sim,83.899.526/0001-82,CASAN,0.0,2024-10-15
15,H017,2296950.0,Ativo,Medidor faturado pela UFSC,Setor 02,Saúde,Setor 02,SubSetor 02.02,Florianópolis - Trindade,Trindade,CCS - Centro de Ciências da Saúde,Fatura centralizada,C11C001906,Água e Esgoto,Sim,83.899.526/0001-82,CASAN,469.0,2024-10-15
16,H018,2296640.0,Ativo,Medidor faturado pela UFSC,Setor 00,Eixo Central,Setor 00,SubSetor 00.09,Florianópolis - Trindade,Trindade,SSI - Secretaria de Assuntos Institucionais,Fatura centralizada,A13C043935,Água e Esgoto,Sim,83.899.526/0001-82,CASAN,32.33,2024-10-15
