CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2025 Fevereiro,Medidor faturado pela UFSC,2025.0,Fevereiro,2297094.0,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1.0,0.0,0.0,0.0,1.0,1479.0,1504.0,25.0,25.0,LIDO,Sem ocorrência,375.36,375.36,-70.94,0.0,0.0,679.78,679.78,0.0
H002 2025 Fevereiro,Medidor faturado pela UFSC,2025.0,Fevereiro,2297116.0,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",2.0,0.0,0.0,0.0,2.0,3209.0,3241.0,32.0,32.0,LIDO,Sem ocorrência,428.7,428.7,-81.02,0.0,0.0,776.38,776.38,0.0
H003 2025 Fevereiro,Medidor faturado pela UFSC,2025.0,Fevereiro,2297124.0,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1.0,0.0,0.0,0.0,1.0,11960.0,12210.0,250.0,250.0,LIDO,Sem ocorrência,4400.61,4400.61,-831.72,0.0,0.0,7969.5,7969.499999999999,0.0
H004 2025 Fevereiro,Medidor faturado pela UFSC,2025.0,Fevereiro,2297086.0,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1.0,0.0,0.0,0.0,1.0,3028.0,3139.0,111.0,111.0,LIDO,Sem ocorrência,1913.9,1913.9,-361.72,0.0,0.0,3466.08,3466.08,0.0
H005 2025 Fevereiro,Medidor faturado pela UFSC,2025.0,Fevereiro,2297078.0,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1.0,0.0,0.0,0.0,1.0,1498.0,1715.0,217.0,217.0,LIDO/REVISÃO,Alto Consumo,3810.24,3810.24,-720.12,0.0,0.0,6900.36,6900.36,0.0
H006 2025 Fevereiro,Medidor faturado pela UFSC,2025.0,Fevereiro,9185569.0,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1.0,0.0,0.0,0.0,1.0,272.0,278.0,6.0,6.0,LIDO/REVISÃO,Média,81.53,81.53,-15.41,0.0,0.0,147.65,147.65,0.0
H007 2025 Fevereiro,Medidor faturado pela UFSC,2025.0,Fevereiro,9185550.0,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1.0,0.0,0.0,0.0,1.0,7290.0,7319.0,29.0,29.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,446.92,446.92,-84.47,0.0,0.0,809.37,809.37,0.0
H008 2025 Fevereiro,Medidor faturado pela UFSC,2025.0,Fevereiro,2297159.0,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1.0,0.0,0.0,0.0,1.0,4240.0,4531.0,291.0,291.0,LIDO/REVISÃO,Média,5134.1,5134.1,-970.34,0.0,0.0,9297.86,9297.86,0.0
H009 2025 Fevereiro,Medidor faturado pela UFSC,2025.0,Fevereiro,2297140.0,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1.0,0.0,0.0,0.0,1.0,29.0,29.0,0.0,0.0,LIDO,HIDRÔMETRO PARADO.,43.31,43.31,-8.19,0.0,0.0,78.43,78.43,0.0
H010 2025 Fevereiro,Medidor faturado pela UFSC,2025.0,Fevereiro,2297132.0,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1.0,0.0,0.0,0.0,1.0,2820.0,2820.0,0.0,0.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,43.31,43.31,-8.19,0.0,0.0,78.43,78.43,0.0
