CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H130 2017 Janeiro,Medidor faturado pela UFSC,2017,Janeiro,0,Sapiens Park,,H130,Condomínio Sapiens Park,Florianópolis - Outros,Sapiens Park - INPETRO,0,0,1,0,1,23.0,24.5,1.5,0,0,5.87,5.87,0.0,0.0,0.0,11.74,1,2017-01-20
H130 2017 Fevereiro,Medidor faturado pela UFSC,2017,Fevereiro,0,Sapiens Park,,H130,Condomínio Sapiens Park,Florianópolis - Outros,Sapiens Park - INPETRO,0,0,1,0,1,24.5,26.0,1.5,0,0,5.87,5.87,,0.0,,11.74,2,2017-02-20
H130 2017 Março,Medidor faturado pela UFSC,2017,Março,0,Sapiens Park,,H130,Condomínio Sapiens Park,Florianópolis - Outros,Sapiens Park - INPETRO,0,0,1,0,1,26.0,29.0,3.0,0,0,11.74,11.74,,0.0,,23.48,3,2017-03-20
H130 2017 Abril,Medidor faturado pela UFSC,2017,Abril,0,Sapiens Park,,H130,Condomínio Sapiens Park,Florianópolis - Outros,Sapiens Park - INPETRO,0,0,1,0,1,29.0,44.0,15.0,0,0,58.7,58.7,,0.0,,117.4,4,2017-04-20
H130 2017 Maio,Medidor faturado pela UFSC,2017,Maio,0,Sapiens Park,,H130,Condomínio Sapiens Park,Florianópolis - Outros,Sapiens Park - INPETRO,0,0,1,0,1,44.0,86.0,42.0,0,0,370.4,370.4,,0.0,,740.8,5,2017-05-20
H130 2017 Junho,Medidor faturado pela UFSC,2017,Junho,0,Sapiens Park,,H130,Condomínio Sapiens Park,Florianópolis - Outros,Sapiens Park - INPETRO,0,0,1,0,1,86.0,162.0,76.0,0,0,701.58,701.58,,0.0,,1403.16,6,2017-06-20
H130 2017 Julho,Medidor faturado pela UFSC,2017,Julho,0,Sapiens Park,,H130,Condomínio Sapiens Park,Florianópolis - Outros,Sapiens Park - INPETRO,0,0,1,0,1,162.0,194.0,32.0,0,0,272.99,272.99,,0.0,,545.98,7,2017-07-20
H130 2017 Agosto,Medidor faturado pela UFSC,2017,Agosto,0,Sapiens Park,,H130,Condomínio Sapiens Park,Florianópolis - Outros,Sapiens Park - INPETRO,0,0,1,0,1,194.0,237.0,43.0,0,0,380.15,380.15,,0.0,,760.3,8,2017-08-20
H130 2017 Setembro,Medidor faturado pela UFSC,2017,Setembro,0,Sapiens Park,,H130,Condomínio Sapiens Park,Florianópolis - Outros,Sapiens Park - INPETRO,0,0,1,0,1,237.0,271.0,34.0,0,0,292.48,292.48,,0.0,,584.96,9,2017-09-20
H130 2017 Outubro,Medidor faturado pela UFSC,2017,Outubro,0,Sapiens Park,,H130,Condomínio Sapiens Park,Florianópolis - Outros,Sapiens Park - INPETRO,0,0,1,0,1,271.0,287.0,16.0,0,0,117.14,117.14,,0.0,,234.28,10,2017-10-20
