CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2013 Janeiro,1,2013.0,Janeiro,2297094.0,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1.0,2051,2065,14.0,,,68.78,,-6.96,,4.85,66.67,1,2013-01-20
H002 2013 Janeiro,2,2013.0,Janeiro,2297116.0,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2.0,2466,2475,20.0,,,82.68,,-7.96,,1.5,76.22,1,2013-01-20
H003 2013 Janeiro,3,2013.0,Janeiro,2297124.0,2013-01-18,448,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1.0,25983,27186,1203.0,Lido,,8226.51,,-790.3,,136.43,7572.64,1,2013-01-20
H004 2013 Janeiro,4,2013.0,Janeiro,2297086.0,,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1.0,427,436,10.0,,,41.34,,-4.04,,1.37,38.67,1,2013-01-20
H005 2013 Janeiro,5,2013.0,Janeiro,2297078.0,,,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1.0,3908,4617,709.0,,,4837.18,,-462.64,,58.53,4433.07,1,2013-01-20
H006 2013 Janeiro,6,2013.0,Janeiro,9185569.0,,,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1.0,193,242,49.0,,,308.92,,-30.12,,9.82,288.62,1,2013-01-20
H007 2013 Janeiro,7,2013.0,Janeiro,9185550.0,,,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1.0,216,275,59.0,,,377.53,,-36.95,,13.42,354.0,1,2013-01-20
H008 2013 Janeiro,8,2013.0,Janeiro,2297159.0,,,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1.0,7653,8173,520.0,,,3540.45,,-345.96,,120.4,3314.89,1,2013-01-20
H009 2013 Janeiro,9,2013.0,Janeiro,2297140.0,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1.0,170,188,18.0,,,96.23,,-9.47,,3.98,90.74,1,2013-01-20
H010 2013 Janeiro,10,2013.0,Janeiro,2297132.0,,C09B271050,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1.0,1070,1092,22.0,,,123.67,,-11.98,,3.11,114.8,1,2013-01-20
H011 2013 Janeiro,11,2013.0,Janeiro,8149615.0,,,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1.0,9048,9723,675.0,,,4603.91,,-438.61,,37.53,4202.83,1,2013-01-20
H014 2013 Janeiro,12,2013.0,Janeiro,2296969.0,2013-01-18,J08CA00145,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58.0,353658,369235,15577.0,Lido,,107612.82,107612.82,-20657.86,,3375.98,197943.76,1,2013-01-20
H015 2013 Janeiro,13,2013.0,Janeiro,2296918.0,2013-01-18,A95S021949,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,,1.0,,,1.0,5265,5520,255.0,Médio,,2054.34,2054.34,-396.04,,82.22,3794.86,1,2013-01-20
H017 2013 Janeiro,14,2013.0,Janeiro,2296950.0,,,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,1.0,,2.0,24712,25570,858.0,,,6502.88,6502.88,-1254.33,,267.52,12018.95,1,2013-01-20
H018 2013 Janeiro,15,2013.0,Janeiro,2296640.0,2013-01-18,A10C017754,H018,CASAN,Florianópolis,DAE,1.0,,,,1.0,464,499,35.0,Lido,,212.87,212.87,-40.63,,4.23,389.34,1,2013-01-20
H019 2013 Janeiro,16,2013.0,Janeiro,9097821.0,2013-01-18,793193,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2.0,1644,1711,67.0,Lido,,405.14,405.14,-78.36,,18.9,750.82,1,2013-01-20
H020 2013 Janeiro,17,2013.0,Janeiro,2296829.0,2013-01-18,C09B271060,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,,,,1.0,15931,16193,262.0,Lido,,1770.31,1770.31,-356.96,,236.83,3420.49,1,2013-01-20
H021 2013 Janeiro,18,2013.0,Janeiro,2296632.0,2013-01-18,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,,,,2.0,574,575,20.0,Mínimo,,82.68,82.68,-15.9,,2.99,152.45,1,2013-01-20
H023 2013 Janeiro,19,2013.0,Janeiro,2296934.0,2013-01-18,A93S053431,H023,CASAN,Florianópolis,Associação Volantes 1,2.0,,1.0,,3.0,1398,1612,214.0,Lido,,1424.2,1424.2,-276.7,,79.65,2651.35,1,2013-01-20
H024 2013 Janeiro,20,2013.0,Janeiro,2296926.0,2013-01-18,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,1.0,,1.0,,2.0,104,106,20.0,Mínimo,,82.68,82.68,-15.9,,2.99,152.45,1,2013-01-20
H025 2013 Janeiro,21,2013.0,Janeiro,2296900.0,2013-01-18,D83S122687,H025,CASAN,Florianópolis,CFM Bloco A,1.0,,,,1.0,3705,3788,83.0,Lido,,542.19,542.19,-110.75,,87.48,1061.11,1,2013-01-20
H026 2013 Janeiro,22,2013.0,Janeiro,9912770.0,2013-01-18,A11C032293,H026,CASAN,Florianópolis,CFM Bloco B,1.0,,,,1.0,1284,1361,77.0,Lido,,501.03,501.03,-98.44,,39.52,943.14,1,2013-01-20
H027 2013 Janeiro,23,2013.0,Janeiro,2296888.0,2013-01-18,654300,H027,CASAN,Florianópolis,Colégio Aplicação,1.0,,1.0,,2.0,4406,4806,400.0,Médio,,2955.3,2955.3,-570.52,,126.68,5466.76,1,2013-01-20
H028 2013 Janeiro,24,2013.0,Janeiro,6205615.0,2013-01-19,A05S578084,H028,CASAN,Florianópolis,Nativas do Horto Botânico,1.0,,,,1.0,7408,7408,10.0,Mínimo,,41.34,41.34,-7.96,,1.5,76.22,1,2013-01-20
H029 2013 Janeiro,25,2013.0,Janeiro,7297220.0,,,H029,CASAN,Florianópolis,Moradia Estudantil - Portaria,1.0,,,,1.0,1864,1865,10.0,,,41.34,41.34,-7.96,,1.5,76.22,1,2013-01-20
H030 2013 Janeiro,26,2013.0,Janeiro,2296276.0,2013-01-17,B11C073045,H030,CASAN,Florianópolis,Moradia Estudantil,0.0,30.0,0.0,0.0,30.0,3183,4316,1133.0,Lido,,5908.82,5908.82,-1126.7,,105.0,10795.94,1,2013-01-20
H032 2013 Janeiro,27,2013.0,Janeiro,2296659.0,2013-01-18,C11C001977,H032,CASAN,Florianópolis,Biblioteca Central,1.0,,,,1.0,2900,3642,742.0,Lido,,5063.59,5063.59,-967.94,,115.56,9274.8,1,2013-01-20
H033 2013 Janeiro,28,2013.0,Janeiro,2296667.0,2013-01-18,C09B271075,H033,CASAN,Florianópolis,CTC 1 - R. Delfino Conti,1.0,,1.0,,2.0,12760,12808,48.0,Lido,,274.78,274.78,-58.49,,69.45,560.52,1,2013-01-20
H034 2013 Janeiro,29,2013.0,Janeiro,8416621.0,2013-01-18,C10C005432,H034,CASAN,Florianópolis,CTC Bloco L - R. Delfino Conti,1.0,,,,1.0,3606,3677,71.0,Lido,,459.86,459.86,-90.6,,39.02,868.14,1,2013-01-20
H035 2013 Janeiro,30,2013.0,Janeiro,2296845.0,2013-01-18,A91T139268,H035,CASAN,Florianópolis,CTC 2 - INEP,1.0,,,,1.0,2440,2440,98.0,Informado,,645.11,645.11,-123.6,,17.65,1184.27,1,2013-01-20
H037 2013 Janeiro,31,2013.0,Janeiro,6435548.0,2013-01-18,C09B271046,H037,CASAN,Florianópolis,CTC Bloco A - POLO,1.0,,,1.0,2.0,5104,5152,48.0,Lido,,274.78,274.78,-54.5,,27.1,522.16,1,2013-01-20
H038 2013 Janeiro,32,2013.0,Janeiro,2296683.0,2013-01-18,C09B271063,H038,CASAN,Florianópolis,Pavilhão Eng. Mecânica,1.0,,,,1.0,36996,37801,805.0,Lido,,5495.84,5495.84,-1063.19,,258.95,10187.44,1,2013-01-20
H040 2013 Janeiro,33,2013.0,Janeiro,2296691.0,2013-01-18,D96T001244,H040,CASAN,Florianópolis,Reitoria I,1.0,,,,1.0,9652,9735,83.0,Lido,,542.19,542.19,-108.71,,66.11,1041.78,1,2013-01-20
H041 2013 Janeiro,34,2013.0,Janeiro,2296810.0,2013-01-18,C09B271043,H041,CASAN,Florianópolis,CCE 1 - Básico,1.0,,1.0,,2.0,7511,7720,209.0,Médio,,1475.85,1475.85,-284.07,,54.3,2721.93,1,2013-01-20
H042 2013 Janeiro,35,2013.0,Janeiro,2296802.0,2013-01-18,C11C007092,H042,CASAN,Florianópolis,CCE 2 - R. Eng. Andrey C. Ferreira,1.0,,,,1.0,1045,1258,213.0,Lido,,1434.12,1434.12,-281.58,,111.34,2698.0,1,2013-01-20
H043 2013 Janeiro,36,2013.0,Janeiro,6816860.0,2013-01-18,A94S171408,H043,CASAN,Florianópolis,Casa de Veg. - Depto. Microbiologia,1.0,,,,1.0,473,476,10.0,Mínimo,,41.34,41.34,-7.96,,1.5,76.22,1,2013-01-20
H044 2013 Janeiro,37,2013.0,Janeiro,2296896.0,2013-01-18,C11C001100,H044,CASAN,Florianópolis,CCB Carvoeira 1 - Lab. de ensino e pesquisa,1.0,,,,1.0,1373,1742,369.0,Lido,,2504.44,2504.44,-488.25,,157.81,4678.44,1,2013-01-20
H045 2013 Janeiro,38,2013.0,Janeiro,2296772.0,2013-01-18,B11C039161,H045,CASAN,Florianópolis,Museu de Antropologia,1.0,,,,1.0,162,173,11.0,Lido,,48.2,48.2,-10.2,,11.44,97.64,1,2013-01-20
H046 2013 Janeiro,39,2013.0,Janeiro,2296780.0,2013-01-18,A99S472251,H046,CASAN,Florianópolis,Horto Botânico,1.0,,,,1.0,4999,5277,278.0,Lido,,1880.09,1880.09,-362.53,,76.05,3473.7,1,2013-01-20
H047 2013 Janeiro,40,2013.0,Janeiro,2296837.0,2013-01-18,A95S006744,H047,CASAN,Florianópolis,Creche UFSC,1.0,,,,1.0,9731,9896,165.0,Lido,,1104.79,1104.79,-215.49,,70.83,2064.92,1,2013-01-20
H048 2013 Janeiro,41,2013.0,Janeiro,2296764.0,2013-01-18,C11C004576,H048,CASAN,Florianópolis,Centro de Filosofia e Humanas 1,1.0,,,,1.0,2839,2887,48.0,Lido,,302.06,302.06,-65.42,,88.23,626.93,1,2013-01-20
H049 2013 Janeiro,42,2013.0,Janeiro,9197478.0,2013-01-18,A11C030894,H049,CASAN,Florianópolis,Centro de Educação 1,1.0,,,,1.0,311,471,160.0,Lido,,1070.49,1070.49,-206.2,,41.01,1975.79,1,2013-01-20
H050 2013 Janeiro,43,2013.0,Janeiro,2296748.0,2013-01-18,C10C005435,H050,CASAN,Florianópolis,Centro de Educação 2,1.0,,,,1.0,2405,2412,10.0,Mínimo,,41.34,41.34,-11.08,,34.55,106.15,1,2013-01-20
H051 2013 Janeiro,44,2013.0,Janeiro,2296756.0,2013-01-18,A10C021613,H051,CASAN,Florianópolis,Centro de Convivência,1.0,,5.0,,6.0,1663,1687,60.0,Mínimo,,248.04,248.04,-47.72,,8.98,457.34,1,2013-01-20
H052 2013 Janeiro,45,2013.0,Janeiro,2296730.0,2013-01-18,A99S330478,H052,CASAN,Florianópolis,Restaurante Universitário 1,,,1.0,,1.0,7319,7392,73.0,Lido,,514.28,514.28,-119.54,,236.51,1145.53,1,2013-01-20
H053 2013 Janeiro,46,2013.0,Janeiro,2296713.0,2013-01-18,C11C001080,H053,CASAN,Florianópolis,Centro de Eventos,1.0,,,,1.0,4769,5964,1195.0,Lido,,8171.63,8171.63,-1595.26,,537.77,15285.77,1,2013-01-20
H054 2013 Janeiro,47,2013.0,Janeiro,6923020.0,2013-01-18,A97C099411,H054,CASAN,Florianópolis,Arquitetura e Urbanismo,1.0,,,,1.0,15358,16203,845.0,Lido,,5770.28,5770.28,-1099.51,,94.44,10535.49,1,2013-01-20
H055 2013 Janeiro,48,2013.0,Janeiro,2296705.0,2013-01-18,434,H055,CASAN,Florianópolis,Centro de Desportos,1.0,,1.0,,2.0,17351,21650,4299.0,Médio,,33156.17,,-3181.32,,508.58,30483.43,1,2013-01-20
H056 2013 Janeiro,49,2013.0,Janeiro,2296721.0,2013-01-18,000R128,H056,CASAN,Florianópolis,Restaurante Universitário 2,1.0,,1.0,,2.0,65947,66805,858.0,Médio,,6502.88,6502.88,-1236.04,,73.94,11843.66,1,2013-01-20
H057 2013 Janeiro,50,2013.0,Janeiro,2297108.0,,A95L322012,H057,CASAN,Florianópolis,Setor da Hidráulica,1.0,,,,1.0,1403,1433,30.0,,,178.56,,-17.14,,2.86,164.28,1,2013-01-20
