CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2013 Setembro,1,2013,Setembro,2297094,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,2293.0,2337.0,44,44.0,,,293.34,,-27.72,,,265.62,265.62,0.0
H002 2013 Setembro,2,2013,Setembro,2297116,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,2636.0,2654.0,18,20.0,,,88.32,,-8.34,,,79.98,79.98,0.0
H003 2013 Setembro,3,2013,Setembro,2297124,2013-09-19,,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,34879.0,36046.0,1167,1167.0,Lido,,8523.7,,-805.49,,,7718.21,7718.21,0.0
H004 2013 Setembro,4,2013,Setembro,2297086,,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,586.0,601.0,15,15.0,,,80.8,,-7.64,,,73.16,73.16,0.0
H005 2013 Setembro,5,2013,Setembro,2297078,2013-09-19,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,72.0,274.0,202,202.0,Lido,,1451.31,,-137.14,,,1314.17,1314.17,0.0
H006 2013 Setembro,6,2013,Setembro,9185569,,,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,785.0,853.0,68,68.0,Lido,,469.24,,-44.34,,,424.9,424.9,0.0
H007 2013 Setembro,7,2013,Setembro,9185550,,,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,747.0,817.0,70,70.0,Lido,,483.89,,-45.74,,,438.15,438.15,0.0
H008 2013 Setembro,8,2013,Setembro,2297159,2013-09-19,B10C010670,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,204.0,797.0,593,593.0,Lido,,4316.91,,-407.95,,,3908.96,3908.96,0.0
H009 2013 Setembro,9,2013,Setembro,2297140,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,498.0,547.0,49,49.0,,,329.99,,-31.18,,,298.81,298.81,0.0
H010 2013 Setembro,10,2013,Setembro,2297132,2013-09-19,C09B271050,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,1251.0,1281.0,30,30.0,Lido,,190.74,,-18.03,,,172.71,172.71,0.0
H011 2013 Setembro,11,2013,Setembro,8149615,,B10C010661,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,89.0,805.0,716,716.0,,,5218.36,,-493.13,,,4725.23,4725.23,0.0
H014 2013 Setembro,12,2013,Setembro,2296969,2013-09-19,J08CA00145,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,449362.0,460968.0,11606,11606.0,Lido,,85072.12,85072.12,-16078.63,,,154065.61,154065.61,0.0
H015 2013 Setembro,13,2013,Setembro,2296918,2013-09-19,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,,1.0,,,1,235.0,469.0,234,234.0,Médio,,2000.84,2000.84,-378.16,,,3623.52,3623.52,0.0
H017 2013 Setembro,14,2013,Setembro,2296950,2013-09-19,C11C000344,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,,,1,209.0,1063.0,854,854.0,Lido,,6229.75,6229.75,-1177.43,,,11282.07,11282.07,0.0
H018 2013 Setembro,15,2013,Setembro,2296640,2013-09-19,A10C017754,H018,CASAN,Florianópolis,DAE,1.0,,,,1,609.0,634.0,25,25.0,Lido,,154.09,154.09,-29.12,,,279.06,279.06,0.0
H019 2013 Setembro,16,2013,Setembro,9097821,2013-09-19,B10C013879,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2,51.0,166.0,115,115.0,Lido,,798.74,798.74,-150.95,,,1446.53,1446.53,0.0
