CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2020 Fevereiro,Medidor faturado pela UFSC,2020,Fevereiro,2297094,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1,0,0,0,1,1302,1319,17,17,Lido,Faturas vencidas há mais de 30 dias estarão sujeitas ao registro nos Órgãos de Proteção ao Crédito.,144.18,0.0,-13.63,0,0,130.55,130.55,0
H002 2020 Fevereiro,Medidor faturado pela UFSC,2020,Fevereiro,2297116,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",1,0,1,0,2,5960,5992,32,32,Lido,Faturas vencidas há mais de 30 dias estarão sujeitas ao registro nos Órgãos de Proteção ao Crédito.,266.22,0.0,-25.16,0,0,241.06,241.06000000000003,0
H003 2020 Fevereiro,Medidor faturado pela UFSC,2020,Fevereiro,2297124,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1,0,0,0,1,18532,18911,379,379,Lido,Faturas vencidas há mais de 30 dias estarão sujeitas ao registro nos Órgãos de Proteção ao Crédito.,4150.83,0.0,-392.25,0,0,3758.58,3758.58,0
H004 2020 Fevereiro,Medidor faturado pela UFSC,2020,Fevereiro,2297086,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1,0,0,0,1,2784,2811,27,27,Informado,CONFIRMACAO LEITURA,254.86,0.0,-24.09,0,0,230.77,230.77,0
H005 2020 Fevereiro,Medidor faturado pela UFSC,2020,Fevereiro,2297078,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1,0,0,0,1,19774,19804,30,30,Informado,CONFIRMACAO LEITURA,288.06,0.0,-27.22,0,0,260.84,260.84000000000003,0
H006 2020 Fevereiro,Medidor faturado pela UFSC,2020,Fevereiro,9185569,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1,0,0,0,1,8,8,0,10,Médio,HIDRÔMETRO PARADO.,66.7,0.0,-6.3,0,0,60.4,60.400000000000006,0
H007 2020 Fevereiro,Medidor faturado pela UFSC,2020,Fevereiro,9185550,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1,0,0,0,1,1221,1429,208,208,Informado,CONFIRMACAO LEITURA,2258.18,0.0,-213.4,0,0,2044.78,2044.7799999999997,0
H008 2020 Fevereiro,Medidor faturado pela UFSC,2020,Fevereiro,2297159,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1,0,0,0,1,30994,31361,367,367,Informado,CONFIRMACAO LEITURA,4018.01,0.0,-379.7,0,0,3638.31,3638.3100000000004,0
H009 2020 Fevereiro,Medidor faturado pela UFSC,2020,Fevereiro,2297140,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1,0,0,0,1,43,47,4,10,Mínimo,Faturas vencidas há mais de 30 dias estarão sujeitas ao registro nos Órgãos de Proteção ao Crédito.,66.7,0.0,-6.3,0,0,60.4,60.400000000000006,0
H010 2020 Fevereiro,Medidor faturado pela UFSC,2020,Fevereiro,2297132,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1,0,0,0,1,1609,1662,53,53,Lido,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA. VERIFIQUE AS INSTALAÇÕES INTERNAS E EVITE DESPERDÍCIOS.,542.63,0.0,-51.29,0,0,491.34,491.34,0
